device_id
Android 7.0 | chrome 62.0 for android
Android 6.0.1 | chrome 66.0 for android
firefox 60.0
iOS 10.2.0 | google search application 48.0
Windows 7 | firefox 60.0
iOS 11.3.0 | chrome 66.0 for ios
iOS 11.1.2 | google search application 48.0
Mac OS X 10_13_1 | safari 11.0
Mac OS X 10_12_5 | safari 10.0
iOS 11.3.1 | google
iOS 11.3.0 | google search application 48.0
iOS 11.2.0 | google search application 48.0
opera 52.0
edge 17.0
Android | samsung
Mac OS X 10_12_3 | chrome 66.0
Windows 10 | firefox 60.0
google search application 48.0
samsung browser 3.3
iOS 10.3.3 | google
iOS 11.2.6 | chrome 66.0 for ios
Mac OS X 10_12_6 | safari 10.0
Mac OS X 10_12_4 | safari 10.0
Mac OS X 10_12 | safari 10.0
iOS 11.4.0 | mobile safari 11.0
Mac | chrome 66.0
Windows 8 | firefox 59.0
Android 8.1.0 | chrome 66.0 for android
iOS 11.3.0 | chrome 63.0 for ios
iOS 11.0.2 | chrome 66.0 for ios
iOS 11.3.0 | firefox
Android 5.0.2 | chrome 66.0 for android
Android 8.0.0 | firefox
Mac OS X 10_11_6 | safari 10.0
Linux | firefox 60.0
Mac OS X 10_13_5 | safari 11.0
iOS 10.3.3 | google search application 48.0
iOS 11.3.0 | google
Mac OS X 10.13 | firefox 60.0
iOS 11.4.1 | mobile safari 11.0
opera 53.0
Windows 10 | opera 52.0
Android 8.1.0 | android webview 4.0
iOS 11.3.1 | google search application 49.0
iOS 10.2.0 | chrome 63.0 for ios
Android 6.0 | chrome 66.0 for android
iOS 10.3.3 | google search application 49.0
Mac OS X 10_12_1 | safari 10.0
iOS 10.3.3 | chrome 66.0 for ios
Android | chrome 66.0 for android
iOS 11.2.5 | google search application 48.0
google search application 49.0
iOS 11.3.0 | google search application 49.0
Windows 8.1 | firefox 60.0
google
Mac OS X 10.13 | firefox 55.0
Mac OS X 10_9_5 | chrome 66.0
facebook
iOS 11.2.2 | google search application 49.0
iOS 11.2.5 | google search application 49.0
Mac OS X 10_10_5 | chrome 67.0
safari
Mac OS X 10.10 | firefox 60.0
iOS 11.2.6 | google search application 49.0
iOS 11.2.5 | google
Windows 7 | opera 52.0
Mac OS X 10_11_5 | chrome 66.0
iOS 11.3.1 | chrome 63.0 for ios
Mac | chrome 58.0
Windows 8.1 | firefox 47.0
Mac OS X 10.11 | firefox 60.0
Mac OS X 10.9 | firefox 60.0
Windows 7 | chrome 67.0
Android 6.0 | chrome 56.0 for android
firefox mobile 61.0
chrome 67.0
Windows 10 | chrome 67.0
Mac OS X 10_12_4 | chrome 66.0
iOS 11.2.1 | google search application 49.0
Mac OS X 10.12 | firefox 60.0
Mac OS X 10_11_4 | chrome
Windows 7 | chrome 69.0
chrome 67.0 for android
Mac OS X 10_13_4 | chrome 67.0
Android 4.4.2 | chrome 66.0 for android
